jogador_pasta,img,aba,nome,overall,gols,time_gols,assistencias,time_assistencias,finalizacoes,time_finalizacoes,precisao_finalizacoes_pct,time_precisao_finalizacoes_pct,passes,time_passes,precisao_passes_pct,time_precisao_passes_pct,dribles,time_dribles,taxa_dribles_certos_pct,time_taxa_dribles_certos_pct,divididas,time_divididas,taxa_divididas_ganhas_pct,time_taxa_divididas_ganhas_pct,impedimentos,time_impedimentos,faltas_cometidas,time_faltas_cometidas,posses_bola_ganhas,time_posses_bola_ganhas,perdas_posse_bola,time_perdas_posse_bola,minutos_jogados_media_time,time_minutos_jogados_media_time,distancia_percorrida_media_time_km,time_distancia_percorrida_media_time_km,distancia_corrida_media_time_km,time_distancia_corrida_media_time_km,passes_assistencias,passes_assistencias_esperadas,passes_passes,passes_concluidos,passes_interceptados,passes_precisao_passe_pct,passes_para_impedimento,passes_rasteiro,passes_por_cobertura,passes_enfiada,passes_enfiada_por_cima,passes_cruzamento,passes_bola_parada,finalizacoes_gols,finalizacoes_gols_esperados,finalizacoes_finalizacoes,finalizacoes_certas,finalizacoes_erradas,finalizacoes_bloqueadas,finalizacoes_precisao_pct,finalizacoes_normal,finalizacoes_colocada,finalizacoes_cabeceio,finalizacoes_rasteira,finalizacoes_de_voleio,finalizacoes_por_cobertura,finalizacoes_bola_parada,defesa_divididas_em_pe,defesa_divididas_em_pe_ganhas,defesa_taxa_divididas_em_pe_ganhas_pct,defesa_carrinhos,defesa_carrinhos_certos,defesa_taxa_carrinhos_certos_pct,defesa_interceptacoes,defesa_bloqueios,defesa_chutoes,defesa_disputas_aereas_ganhas,defesa_duelos_perdidos,defesa_faltas_cometidas,defesa_penaltis_cometidos,defesa_gols_contra
Adam Wharton,Captura de Tela (1025).png,resumo,Adam Wharton,60,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,86.0,100.0,86.0,0.0,71.0,0.0,86.0,1.0,14.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,19.0,16.0,62.0,1.7,6.7,0.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies,Captura de Tela (1303).png,resumo,Tom Davies,77,0.0,7.0,0.0,5.0,2.0,17.0,90.0,65.0,5.0,57.0,100.0,79.0,7.0,54.0,86.0,96.0,4.0,21.0,100.0,86.0,0.0,2.0,1.0,1.0,4.0,23.0,1.0,10.0,94.0,64.0,0.0,6.2,1.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doucore,Captura de Tela (1006).png,resumo,Cheick Doucoure,76,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,75.0,14.0,120.0,86.0,87.0,12.0,103.0,100.0,89.0,1.0,13.0,0.0,23.0,0.0,1.0,0.0,0.0,1.0,23.0,2.0,21.0,45.0,72.0,5.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doucore,Captura de Tela (1026).png,resumo,Cheick Doucoure,76,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,86.0,100.0,86.0,6.0,71.0,100.0,86.0,2.0,14.0,100.0,21.0,0.0,0.0,0.0,2.0,1.0,18.0,0.0,19.0,45.0,62.0,4.9,6.7,0.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1004).png,resumo,Eberechi Eze,82,1.0,0.0,0.0,2.0,2.0,8.0,100.0,75.0,13.0,120.0,85.0,87.0,15.0,103.0,73.0,89.0,2.0,13.0,90.0,23.0,0.0,1.0,0.0,0.0,0.0,23.0,5.0,21.0,92.0,72.0,9.7,7.3,1.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1023).png,resumo,Eberechi Eze,82,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,86.0,88.0,86.0,13.0,71.0,62.0,86.0,0.0,14.0,0.0,21.0,0.0,0.0,0.0,2.0,1.0,18.0,5.0,19.0,75.0,62.0,8.2,6.7,1.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1042).png,resumo,Eberechi Eze,87,1.0,1.0,0.0,1.0,3.0,9.0,67.0,96.0,11.0,88.0,71.0,89.0,0.0,72.0,83.0,92.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,18.0,4.0,17.0,92.0,77.0,0.5,8.2,1.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1051).png,resumo,Eberechi Eze,87,0.0,1.0,1.0,4.0,2.0,8.0,0.0,25.0,13.0,75.0,77.0,80.0,14.0,59.0,86.0,92.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,3.0,1.0,20.0,3.0,15.0,92.0,63.0,0.4,6.7,1.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1184).png,resumo,Eberechi Eze,82,1.0,3.0,0.0,2.0,2.0,8.0,90.0,38.0,19.0,223.0,89.0,92.0,21.0,174.0,95.0,96.0,2.0,15.0,0.0,33.0,0.0,2.0,0.0,1.0,2.0,23.0,2.0,19.0,94.0,73.0,9.3,6.5,1.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1186).png,resumo,Eberechi Eze,82,7.0,0.0,0.0,0.0,0.0,0.9,0.0,19.0,4.0,17.0,0.0,0.0,0.0,89.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
